"situacao_residencia","natureza_ocupacao","grau_instrucao","estado_civil","faixa_renda","sexo","possui_cartao","utiliza_cartao_credito","utiliza_cartao_debito","possui_deposito_prazo","possui_limite_cheque_especial","possui_limite_cheque_especial_utilizado","possui_pacote_servico","possui_credito_comercial","possui_credito_repasse","possui_consorcio","possui_seguro_vida","possui_seguro_residencial","possui_seguro_automovel","possui_seguro_rural","possui_seguro_agricola","possui_convenios_debito_automatico","possui_cartao_black"
"Financiado Próprio","Servidor Público Da Administração Direta","Pos Graduado","Casado(A) - Comunhão Parcial","De 5 A 10 Salários Mínimos","M","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Alugado","Empregado De Pessoa Física","Fundamental Incompleto","Solteiro(A)","Até 1 Salário Mínimo","M","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Alugado","Empregado Em Empresa Do Setor Privado","Fundamental Incompleto","Divorciado(A)","De 1 A 2 Salários Mínimos","M","Sim","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Quitado E Próprio","Sem Vinculo De Emprego","Ensino Fundamental","Casado(A) - Comunhão Parcial","De 5 A 10 Salários Mínimos","M","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não",0
"Familiar","Aposentado Ou Pensionista","Fundamental Incompleto","Casado(A) - Comunhão Universal","Até 1 Salário Mínimo","F","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Familiar","Empregado Em Empresa Do Setor Privado","Ensino Médio","Casado(A) - Comunhão Parcial","De 1 A 2 Salários Mínimos","F","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Alugado","Não Utilizado","Ensino Fundamental","Casado(A) - Comunhão Universal","Acima De 20 Salários Mínimos","F","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Quitado E Próprio","Não Utilizado","Ensino Fundamental","Separado(A) - Judicialmente","Até 1 Salário Mínimo","F","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Familiar","Aposentado Ou Pensionista","Ensino Fundamental","Casado(A) - Comunhão Universal","De 1 A 2 Salários Mínimos","F","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Alugado","Sem Vinculo De Emprego","Analfabeto","Solteiro(A)","Até 1 Salário Mínimo","F","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Alugado","Servidor Público Da Administração Direta","Pos Graduado","Solteiro(A)","De 3 A 5 Salários Mínimos","M","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Familiar","Não Utilizado","Ensino Fundamental","Viúvo(A)","De 1 A 2 Salários Mínimos","F","Não","Não","Não","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não",0
"Quitado E Próprio","Aposentado Ou Pensionista","Ensino Fundamental","Casado(A) - Comunhão Universal","Até 1 Salário Mínimo","F","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Familiar","Sem Vinculo De Emprego","Ensino Médio","Casado(A) - Comunhão Universal","De 2 A 3 Salários Mínimos","F","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não",0
"Alugado","Empregado Em Empresa Do Setor Privado","Ensino Médio","Solteiro(A)","De 2 A 3 Salários Mínimos","M","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
"Quitado E Próprio","Empregado Titular Ou Propr De Empresa","Ensino Médio","Casado(A) - Comunhão Parcial","De 1 A 2 Salários Mínimos","M","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não","Não",0
